Current Time (ns), Interval (ns)
1780070274169563842, 999588
1780070274170563800, 999958
1780070274171563568, 999768
1780070274172563637, 1000069
1780070274173563605, 999968
1780070274174563364, 999759
1780070274175565726, 1002362
1780070274176579418, 1013692
1780070274177604774, 1025356
1780070274178593832, 989058
1780070274179580035, 986203
1780070274180632151, 1052116
1780070274181580613, 948462
1780070274182590971, 1010358
1780070274183570802, 979831
1780070274184564458, 993656
1780070274185563816, 999358
1780070274186563895, 1000079
1780070274187563803, 999908
1780070274188563642, 999839
1780070274189563119, 999477
1780070274190564861, 1001742
1780070274191564068, 999207
1780070274192564567, 1000499
1780070274193563975, 999408
1780070274194563543, 999568
1780070274195563962, 1000419
1780070274196564281, 1000319
1780070274197565322, 1001041
1780070274198563968, 998646
1780070274199553780, 989812
1780070274200564148, 1010368
1780070274201566882, 1002734
1780070274202567682, 1000800
1780070274203566118, 998436
1780070274204566988, 1000870
1780070274205566796, 999808
1780070274206566294, 999498
1780070274207567124, 1000830
1780070274208566992, 999868
1780070274209565428, 998436
1780070274210567470, 1002042
1780070274211566307, 998837
1780070274212567017, 1000710
1780070274213567446, 1000429
1780070274214565521, 998075
1780070274215566912, 1001391
1780070274216567191, 1000279
1780070274217565927, 998736
1780070274218566187, 1000260
1780070274219567458, 1001271
1780070274220566013, 998555
1780070274221561333, 995320
1780070274222565500, 1004167
1780070274223563164, 997664
1780070274224565297, 1002133
1780070274225565215, 999918
1780070274226564362, 999147
1780070274227564551, 1000189
1780070274228563077, 998526
1780070274229566311, 1003234
1780070274230565979, 999668
1780070274231568152, 1002173
1780070274232564373, 996221
1780070274233564192, 999819
1780070274234564240, 1000048
1780070274235564439, 1000199
1780070274236565189, 1000750
1780070274237564527, 999338
1780070274238572610, 1008083
1780070274239594246, 1021636
1780070274240574157, 979911
1780070274241572934, 998777
1780070274242570047, 997113
1780070274243571689, 1001642
1780070274244576216, 1004527
1780070274245575803, 999587
1780070274246575992, 1000189
1780070274247576362, 1000370
1780070274248587742, 1011380
1780070274249569877, 982135
1780070274250564255, 994378
1780070274251564083, 999828
1780070274252564382, 1000299
1780070274253564551, 1000169
1780070274254563718, 999167
1780070274255563887, 1000169
1780070274256563876, 999989
1780070274257563944, 1000068
1780070274258563612, 999668
1780070274259564392, 1000780
1780070274260565964, 1001572
1780070274261564560, 998596
1780070274262563526, 998966
1780070274263563675, 1000149
1780070274264563694, 1000019
1780070274265563833, 1000139
1780070274266563932, 1000099
1780070274267563820, 999888
1780070274268581011, 1017191
1780070274269565671, 984660
1780070274270565228, 999557
1780070274271565117, 999889
1780070274272565506, 1000389
1780070274273566376, 1000870
1780070274274565724, 999348
1780070274275565933, 1000209
1780070274276565971, 1000038
1780070274277566441, 1000470
1780070274278565959, 999518
1780070274279565676, 999717
1780070274280561968, 996292
1780070274281582605, 1020637
1780070274282571433, 988828
1780070274283583765, 1012332
1780070274284591608, 1007843
1780070274285567872, 976264
1780070274286564525, 996653
1780070274287563842, 999317
1780070274288564311, 1000469
1780070274289563669, 999358
1780070274290563647, 999978
1780070274291563185, 999538
1780070274292563544, 1000359
1780070274293564044, 1000500
1780070274294564553, 1000509
1780070274295564341, 999788
1780070274296566013, 1001672
1780070274297566753, 1000740
1780070274298566411, 999658
1780070274299566510, 1000099
1780070274300566438, 999928
1780070274301565826, 999388
1780070274302565985, 1000159
1780070274303565823, 999838
1780070274304566553, 1000730
1780070274305564888, 998335
1780070274306565638, 1000750
1780070274307566138, 1000500
1780070274308565976, 999838
1780070274309566245, 1000269
1780070274310565913, 999668
1780070274311566453, 1000540
1780070274312566261, 999808
1780070274313565288, 999027
1780070274314564906, 999618
1780070274315566226, 1001320
1780070274316566315, 1000089
1780070274317566003, 999688
1780070274318566072, 1000069
1780070274319566331, 1000259
1780070274320563748, 997417
1780070274321561612, 997864
1780070274322564246, 1002634
1780070274323564294, 1000048
1780070274324564173, 999879
1780070274325563951, 999778
1780070274326562647, 998696
1780070274327564239, 1001592
1780070274328562564, 998325
1780070274329564086, 1001522
1780070274330561429, 997343
1780070274331565165, 1003736
1780070274332564422, 999257
1780070274333564080, 999658
1780070274334562966, 998886
1780070274335563075, 1000109
1780070274336563204, 1000129
1780070274337563163, 999959
1780070274338563752, 1000589
1780070274339563701, 999949
1780070274340563479, 999778
1780070274341563768, 1000289
