Current Time (ns), Interval (ns)
1780296650737566694, 1137898
1780296650738443998, 877304
1780296650739445696, 1001698
1780296650740451529, 1005833
1780296650741450028, 998499
1780296650742448746, 998718
1780296650743448911, 1000165
1780296650744448240, 999329
1780296650745413656, 965416
1780296650746447465, 1033809
1780296650747446548, 999083
1780296650748447426, 1000878
1780296650749448142, 1000716
1780296650750431824, 983682
1780296650751448328, 1016504
1780296650752452827, 1004499
1780296650753448405, 995578
1780296650754444130, 995725
1780296650755446481, 1002351
1780296650756449661, 1003180
1780296650757449579, 999918
1780296650758445597, 996018
1780296650759449948, 1004351
1780296650760448229, 998281
1780296650761449254, 1001025
1780296650762448215, 998961
1780296650763451411, 1003196
1780296650764446811, 995400
1780296650765448160, 1001349
1780296650766451838, 1003678
1780296650767448976, 997138
1780296650768452531, 1003555
1780296650769448637, 996106
1780296650770448518, 999881
1780296650771446248, 997730
1780296650772448141, 1001893
1780296650773449212, 1001071
1780296650774446287, 997075
1780296650775445493, 999206
1780296650776447963, 1002470
1780296650777448897, 1000934
1780296650778448385, 999488
1780296650779450941, 1002556
1780296650780447049, 996108
1780296650781446424, 999375
1780296650782451525, 1005101
1780296650783447040, 995515
1780296650784448423, 1001383
1780296650785448755, 1000332
1780296650786447745, 998990
1780296650787447421, 999676
1780296650788447644, 1000223
1780296650789592898, 1145254
1780296650790448308, 855410
1780296650791449063, 1000755
1780296650792448988, 999925
1780296650793446859, 997871
1780296650794449128, 1002269
1780296650795445783, 996655
1780296650796448175, 1002392
1780296650797446345, 998170
1780296650798446191, 999846
1780296650799446247, 1000056
1780296650800427967, 981720
1780296650801595747, 1167780
1780296650802447629, 851882
1780296650803447845, 1000216
1780296650804453083, 1005238
1780296650805448383, 995300
1780296650806444941, 996558
1780296650807449024, 1004083
1780296650808593431, 1144407
1780296650809454053, 860622
1780296650810448381, 994328
1780296650811446057, 997676
1780296650812597136, 1151079
1780296650813447546, 850410
1780296650814445952, 998406
1780296650815448627, 1002675
1780296650816449506, 1000879
1780296650817442070, 992564
1780296650818450604, 1008534
1780296650819447257, 996653
1780296650820452658, 1005401
1780296650821447848, 995190
1780296650822445099, 997251
1780296650823446567, 1001468
1780296650824448323, 1001756
1780296650825453874, 1005551
1780296650826447592, 993718
1780296650827445707, 998115
1780296650828447133, 1001426
1780296650829449061, 1001928
1780296650830450082, 1001021
1780296650831445859, 995777
1780296650832450760, 1004901
1780296650833454723, 1003963
1780296650834448232, 993509
1780296650835447659, 999427
1780296650836452440, 1004781
1780296650837448864, 996424
1780296650838428893, 980029
1780296650839448784, 1019891
1780296650840447110, 998326
1780296650841450128, 1003018
1780296650842448772, 998644
1780296650843446375, 997603
1780296650844449408, 1003033
1780296650845451081, 1001673
1780296650846449786, 998705
1780296650847445139, 995353
1780296650848450583, 1005444
1780296650849448380, 997797
1780296650850449485, 1001105
1780296650851448676, 999191
1780296650852451847, 1003171
1780296650853447690, 995843
1780296650854448861, 1001171
1780296650855445881, 997020
1780296650856446569, 1000688
1780296650857597211, 1150642
1780296650858449336, 852125
1780296650859596070, 1146734
1780296650860447635, 851565
1780296650861599696, 1152061
1780296650862449126, 849430
1780296650863448442, 999316
1780296650864599753, 1151311
1780296650865447422, 847669
1780296650866449003, 1001581
1780296650867445893, 996890
1780296650868451382, 1005489
1780296650869592910, 1141528
1780296650870448166, 855256
1780296650871452251, 1004085
1780296650872448755, 996504
1780296650873449728, 1000973
1780296650874446070, 996342
1780296650875443423, 997353
1780296650876448064, 1004641
1780296650877450200, 1002136
1780296650878449505, 999305
1780296650879448166, 998661
1780296650880449629, 1001463
1780296650881447915, 998286
1780296650882431192, 983277
1780296650883446063, 1014871
1780296650884445115, 999052
1780296650885446515, 1001400
1780296650886446331, 999816
1780296650887451797, 1005466
1780296650888449127, 997330
1780296650889452148, 1003021
1780296650890447231, 995083
1780296650891443878, 996647
1780296650892445307, 1001429
1780296650893599325, 1154018
1780296650894452328, 853003
1780296650895445871, 993543
1780296650896449151, 1003280
1780296650897448997, 999846
1780296650898452645, 1003648
1780296650899445698, 993053
1780296650900432531, 986833
1780296650901448811, 1016280
1780296650902448380, 999569
1780296650903446516, 998136
1780296650904449349, 1002833
1780296650905450939, 1001590
1780296650906447827, 996888
1780296650907444557, 996730
1780296650908448836, 1004279
1780296650909447887, 999051
1780296650910448145, 1000258
1780296650911448376, 1000231
1780296650912448948, 1000572
1780296650913448681, 999733
1780296650914453697, 1005016
1780296650915447751, 994054
1780296650916445004, 997253
1780296650917417848, 972844
1780296650918447722, 1029874
1780296650919451001, 1003279
1780296650920448798, 997797
1780296650921449551, 1000753
1780296650922447910, 998359
1780296650923447130, 999220
1780296650924448224, 1001094
1780296650925448229, 1000005
1780296650926449010, 1000781
1780296650927447696, 998686
1780296650928448373, 1000677
1780296650929448666, 1000293
1780296650930451012, 1002346
1780296650931444853, 993841
1780296650932445405, 1000552
1780296650933607350, 1161945
1780296650934448592, 841242
1780296650935450583, 1001991
1780296650936449138, 998555
1780296650937449554, 1000416
1780296650938447679, 998125
1780296650939448310, 1000631
1780296650940446476, 998166
1780296650941445193, 998717
1780296650942455626, 1010433
1780296650943451659, 996033
1780296650944450262, 998603
1780296650945451978, 1001716
1780296650946447552, 995574
1780296650947447390, 999838
1780296650948454241, 1006851
1780296650949445415, 991174
1780296650950450689, 1005274
1780296650951450137, 999448
1780296650952448778, 998641
1780296650953448088, 999310
1780296650954448039, 999951
1780296650955449812, 1001773
1780296650956448995, 999183
1780296650957448933, 999938
1780296650958446919, 997986
1780296650959445685, 998766
1780296650960452665, 1006980
1780296650961448121, 995456
1780296650962452905, 1004784
1780296650963447634, 994729
1780296650964442770, 995136
1780296650965594246, 1151476
1780296650966450802, 856556
1780296650967432889, 982087
1780296650968447180, 1014291
1780296650969450264, 1003084
1780296650970448501, 998237
1780296650971448019, 999518
1780296650972448158, 1000139
1780296650973446206, 998048
1780296650974447134, 1000928
1780296650975448387, 1001253
1780296650976447365, 998978
1780296650977448995, 1001630
1780296650978452186, 1003191
1780296650979448739, 996553
1780296650980448668, 999929
1780296650981595691, 1147023
1780296650982438634, 842943
1780296650983433162, 994528
1780296650984430250, 997088
1780296650985449766, 1019516
1780296650986437024, 987258
1780296650987451274, 1014250
1780296650988446965, 995691
1780296650989451102, 1004137
1780296650990449201, 998099
1780296650991587677, 1138476
1780296650992451304, 863627
1780296650993601643, 1150339
1780296650994449725, 848082
1780296650995445958, 996233
1780296650996444412, 998454
1780296650997432572, 988160
1780296650998453320, 1020748
1780296650999596107, 1142787
1780296651000435489, 839382
1780296651001572500, 1137011
1780296651002449790, 877290
1780296651003599076, 1149286
1780296651004452984, 853908
1780296651005602390, 1149406
1780296651006451090, 848700
1780296651007598368, 1147278
1780296651008455583, 857215
1780296651009601220, 1145637
1780296651010455911, 854691
1780296651011595284, 1139373
1780296651012457251, 861967
1780296651013598853, 1141602
1780296651014453121, 854268
1780296651015599570, 1146449
1780296651016452437, 852867
1780296651017554389, 1101952
1780296651018452239, 897850
1780296651019600065, 1147826
1780296651020450960, 850895
1780296651021602628, 1151668
1780296651022452884, 850256
1780296651023455065, 1002181
1780296651024450196, 995131
1780296651025599980, 1149784
1780296651026455042, 855062
1780296651027452541, 997499
1780296651028447398, 994857
1780296651029452382, 1004984
1780296651030458103, 1005721
1780296651031452196, 994093
1780296651032451795, 999599
1780296651033452052, 1000257
1780296651034452786, 1000734
1780296651035457135, 1004349
1780296651036452235, 995100
1780296651037449534, 997299
1780296651038452234, 1002700
1780296651039455593, 1003359
1780296651040449672, 994079
1780296651041449578, 999906
1780296651042453270, 1003692
1780296651043434036, 980766
1780296651044461086, 1027050
1780296651045453443, 992357
1780296651046457639, 1004196
1780296651047452924, 995285
1780296651048451515, 998591
1780296651049452371, 1000856
1780296651050437989, 985618
1780296651051457527, 1019538
1780296651052453289, 995762
1780296651053447753, 994464
